Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MLT-9032,1,Buzzer,
"C1, C13, C17, C18, C36, C39, C41, C44, C76, C78",0603,10,10u,
"C10, C11, C12, C14, C15, C16, C2, C21, C4, C48, C5, C52, C54, C55, C56, C57, C58, C59, C6, C7, C70, C8, C9",0603,23,100n,
"C19, C27",0603,2,1u,
"C22, C23, C60, C61",0603,4,20p,
"C24, C25, C26, C29, C30",1206,5,10u,
"C28, C31",1206,2,100u,
"C3, C38, C43",0603,3,10n,
"C46, C47",0603,2,0u1,
"D1, D2, D3",SOT-23,3,ESD1CAN,
"D10, D11",0603,2,LED,
"D12, D5",D_SMF,2,SMF5.0A,
"D14, D6, D7, D9",D_SMF,4,K34,
D22,0603,1,Yellow,
D23,0603,1,Green,
D4,D_SMA,1,SMAJ24A,
D8,SOT-23,1,SM712,
F1,1206,1,Fuse,
J1,BTB_P0.8mm_2x40pin_F,1,BTB,
"J10, J11",JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,2,GPIO1,
J2,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,RS-485,
J20,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,PWRIn,
J22,PinHeader_1x03_P2.54mm_Vertical,1,D-Bus,
J28,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,SWD,
J3,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,CAN1,
J4,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,CAN2,
J5,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,CAN3,
J6,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,UART1A,
J7,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,UART5,
"J8, J9",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,USB,
L1,L_Sunlord_MWSA0402S,1,6u8,
"Q1, Q4",SOT-23,2,AO3400A,
"R1, R10, R12, R16, R17, R52",0603,6,1k,
R11,0603,1,33k,
"R13, R18, R24, R25, R26, R54, R59, R61, R9",0603,9,10k,
"R14, R2, R3, R4, R6",0603,5,120R,
"R15, R51",0603,2,2k2,
"R19, R20, R21, R57, R8",0603,5,33R,
R23,0603,1,54k6,
"R5, R7",0603,2,4k7,
R62,1206,1,(36R),
"RN1, RN12, RN13, RN19, RN2, RN21, RN4, RN5",R_Array_Concave_4x0603,8,82R,
SW1,Button_Side,1,NRST,
SW2,Button_Side,1,BOOT0,
SW4,Button_Side,1,BTN,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32G473VETx,
"U10, U11, U3",SOT-23-5,3,RS3236,
"U12, U4, U7",SOIC-8_3.9x4.9mm_P1.27mm,3,TJA1042T-3,
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,SN75176AD,
"U14, U15, U5, U6",USON-10_2.5x1.0mm_P0.5mm_Mod,4,TPD4E02B04DQA,
"U16, U17",TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,2,CH343P,
U2,PQFN50P300X250X97-14N,1,ICM-42688-P,
U8,SOT-23-6,1,RY8411,
U9,WSON-8_FLASH,1,W25N01GVZEIG,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,3225 25MHz,
