Designator,Mid X,Mid Y,Rotation,Layer
BZ1,143.0,-116.0,180.0,bottom
C1,120.5,-146.75,0.0,bottom
C10,111.5,-114.25,270.0,bottom
C11,122.0,-113.25,270.0,bottom
C12,120.25,-121.5,270.0,bottom
C13,120.5,-138.25,0.0,bottom
C14,146.5,-142.25,315.0,bottom
C15,120.5,-139.75,0.0,bottom
C16,109.0,-121.75,180.0,bottom
C17,148.25,-118.75,270.0,bottom
C18,130.25,-115.5,0.0,bottom
C19,148.25,-138.0,270.0,bottom
C2,120.5,-145.25,0.0,bottom
C21,110.5,-139.0,90.0,bottom
C22,104.0,-143.25,90.0,bottom
C23,137.75,-113.25,270.0,bottom
C24,108.75,-142.5,0.0,bottom
C25,108.75,-147.0,0.0,bottom
C26,108.75,-144.75,0.0,bottom
C27,146.25,-127.25,270.0,bottom
C28,113.5,-144.75,180.0,bottom
C29,102.75,-139.25,270.0,bottom
C3,118.25,-139.0,90.0,bottom
C30,105.0,-139.25,270.0,bottom
C31,113.5,-142.5,180.0,bottom
C36,129.0,-113.25,270.0,bottom
C38,127.25,-115.5,180.0,bottom
C39,123.5,-113.25,270.0,bottom
C4,133.5,-147.5,180.0,bottom
C41,146.75,-144.5,0.0,bottom
C43,142.75,-148.0,0.0,bottom
C44,142.75,-146.5,0.0,bottom
C46,147.75,-127.25,270.0,bottom
C47,149.75,-138.0,270.0,bottom
C48,138.5,-137.5,225.0,bottom
C5,132.0,-143.0,225.0,bottom
C52,117.5,-133.25,225.0,bottom
C54,127.25,-118.0,0.0,bottom
C55,131.0,-118.0,0.0,bottom
C56,137.5,-138.5,225.0,bottom
C57,119.75,-136.75,0.0,bottom
C58,133.25,-141.75,225.0,bottom
C59,140.2,-126.6,45.0,bottom
C6,102.5,-114.25,270.0,bottom
C60,139.0,-123.25,135.0,bottom
C61,135.0,-119.25,315.0,bottom
C7,113.0,-114.25,270.0,bottom
C70,112.0,-133.75,90.0,bottom
C76,105.75,-129.0,180.0,bottom
C78,116.75,-140.5,90.0,bottom
C8,111.25,-120.25,270.0,bottom
C9,116.75,-137.5,270.0,bottom
D1,112.0,-119.5,90.0,top
D10,153.0,-118.5,180.0,top
D11,153.0,-141.5,180.0,top
D12,151.5,-117.75,180.0,bottom
D14,117.0,-145.75,90.0,bottom
D2,125.5,-119.5,90.0,top
D22,129.8,-111.9,270.0,top
