Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C78",0603,7,4u7,
C7,0603,1,100n,
"D1, D3, D5",WS2812B-2020,3,WS2812B-2020,
D2,WS2812B-2020,1,RM25:WS2812B-2020,
D4,D_SMF,1,SMFJ5V0A,
D6,D_SMF,1,D_Schottky,
F1,1206,1,1A,
"J1, J14",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,2,RS-485,
"J10, J11, J2, J3",JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,4,GPIO,
J12,BTB_P0.8mm_2x40pin_M,1,BTB,
"J13, J15, J16, J17, J8, J9",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,6,CAN,
"J18, J21, J23, J24, J25",JST_GH_BM07B-GHS-TBT_1x07-1MP_P1.25mm_Vertical,5,Conn_01x07_MountingPin,
J19,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,LASER,
J28,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,SWD,
J6,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,UART1A,
J7,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,UART5,
Q1,SOT-23,1,AO3400A,
"R1, R2, R3, R5",0603,4,120R,
R4,0603,1,10k,
"RN1, RN2",R_Array_Concave_4x0603,2,82R,
SW1,Button_PTS810,1,BTN,
SW2,Button_PTS810,1,NRST,
"U1, U15",USON-10_2.5x1.0mm_P0.5mm_Mod,2,TPD4E02B04DQA,
