Designator,Mid X,Mid Y,Rotation,Layer
C1,97.75,-120.3,0.0,bottom
C2,97.75,-139.75,0.0,bottom
C3,137.0,-120.0,180.0,bottom
C4,143.5,-120.0,0.0,bottom
C5,145.75,-138.0,0.0,bottom
C6,117.5,-136.75,270.0,bottom
C7,104.25,-143.75,90.0,bottom
C78,113.5,-138.0,90.0,bottom
D1,97.75,-141.5,0.0,top
D2,97.75,-138.0,0.0,top
D3,97.75,-122.05,0.0,top
D4,145.0,-140.0,180.0,bottom
D5,97.75,-118.5,0.0,top
D6,115.5,-137.5,270.0,bottom
F1,145.0,-136.0,0.0,bottom
J1,105.25,-113.0,0.0,top
J10,136.25,-113.0,0.0,top
J11,144.25,-113.0,0.0,top
J12,129.0,-130.0,0.0,top
J13,125.5,-113.0,0.0,top
J14,105.25,-120.0,0.0,top
J15,112.0,-120.0,0.0,top
J16,118.75,-120.0,0.0,top
J17,125.5,-120.0,0.0,top
J18,127.0,-133.0,90.0,top
J19,106.25,-147.0,0.0,top
J2,144.25,-120.0,0.0,top
J21,119.0,-133.0,90.0,top
J23,135.0,-133.0,90.0,top
J24,143.0,-133.0,90.0,top
J25,111.0,-133.0,90.0,top
J28,117.0,-147.0,0.0,top
J3,136.25,-120.0,0.0,top
J6,136.25,-147.0,180.0,top
J7,144.25,-147.0,180.0,top
J8,112.0,-113.0,0.0,top
J9,118.75,-113.0,0.0,top
Q1,106.75,-143.5,90.0,bottom
R1,122.0,-136.75,270.0,bottom
R2,119.0,-136.75,270.0,bottom
R3,120.5,-136.75,270.0,bottom
R4,106.75,-139.25,0.0,bottom
R5,106.75,-140.75,0.0,bottom
RN1,129.25,-137.25,90.0,bottom
RN2,138.25,-122.75,90.0,bottom
SW1,127.5,-143.0,0.0,top
SW2,127.5,-147.0,0.0,top
U1,141.0,-122.75,270.0,bottom
U15,126.5,-137.25,270.0,bottom
